stem,file,channel,algo,original_csv,reconstructed_csv,compressed_ewcr,compressed_bytes
wave1_UA_ASBC,wave1.csv,UA,ASBC,results/out/wave1_UA_ASBC_original.csv,results/out/wave1_UA_ASBC_reconstructed.csv,results/out/wave1_UA_ASBC_compressed.ewcr,899
wave1_UA_DWT_Hybrid,wave1.csv,UA,DWT-Hybrid,results/out/wave1_UA_DWT_Hybrid_original.csv,results/out/wave1_UA_DWT_Hybrid_reconstructed.csv,results/out/wave1_UA_DWT_Hybrid_compressed.ewcr,8120
wave1_UA_CS_OMP,wave1.csv,UA,CS-OMP,results/out/wave1_UA_CS_OMP_original.csv,results/out/wave1_UA_CS_OMP_reconstructed.csv,results/out/wave1_UA_CS_OMP_compressed.ewcr,1668
wave1_UA_MMC,wave1.csv,UA,MMC,results/out/wave1_UA_MMC_original.csv,results/out/wave1_UA_MMC_reconstructed.csv,results/out/wave1_UA_MMC_compressed.ewcr,4533
wave1_UA_SVDCS,wave1.csv,UA,SVDCS,results/out/wave1_UA_SVDCS_original.csv,results/out/wave1_UA_SVDCS_reconstructed.csv,results/out/wave1_UA_SVDCS_compressed.ewcr,2133
wave1_IA_ASBC,wave1.csv,IA,ASBC,results/out/wave1_IA_ASBC_original.csv,results/out/wave1_IA_ASBC_reconstructed.csv,results/out/wave1_IA_ASBC_compressed.ewcr,1316
wave1_IA_DWT_Hybrid,wave1.csv,IA,DWT-Hybrid,results/out/wave1_IA_DWT_Hybrid_original.csv,results/out/wave1_IA_DWT_Hybrid_reconstructed.csv,results/out/wave1_IA_DWT_Hybrid_compressed.ewcr,8120
wave1_IA_CS_OMP,wave1.csv,IA,CS-OMP,results/out/wave1_IA_CS_OMP_original.csv,results/out/wave1_IA_CS_OMP_reconstructed.csv,results/out/wave1_IA_CS_OMP_compressed.ewcr,1668
wave1_IA_MMC,wave1.csv,IA,MMC,results/out/wave1_IA_MMC_original.csv,results/out/wave1_IA_MMC_reconstructed.csv,results/out/wave1_IA_MMC_compressed.ewcr,4554
wave1_IA_SVDCS,wave1.csv,IA,SVDCS,results/out/wave1_IA_SVDCS_original.csv,results/out/wave1_IA_SVDCS_reconstructed.csv,results/out/wave1_IA_SVDCS_compressed.ewcr,2324
wave2_UA_ASBC,wave2.csv,UA,ASBC,results/out/wave2_UA_ASBC_original.csv,results/out/wave2_UA_ASBC_reconstructed.csv,results/out/wave2_UA_ASBC_compressed.ewcr,859
wave2_UA_DWT_Hybrid,wave2.csv,UA,DWT-Hybrid,results/out/wave2_UA_DWT_Hybrid_original.csv,results/out/wave2_UA_DWT_Hybrid_reconstructed.csv,results/out/wave2_UA_DWT_Hybrid_compressed.ewcr,8120
wave2_UA_CS_OMP,wave2.csv,UA,CS-OMP,results/out/wave2_UA_CS_OMP_original.csv,results/out/wave2_UA_CS_OMP_reconstructed.csv,results/out/wave2_UA_CS_OMP_compressed.ewcr,1668
