file,channel,algo,fs,N,ok,CR,SNR_dB,NMSE_dB,RMSE,PRD,MAXE,PSNR_dB,enc_s,dec_s,note
wave1.csv,UA,ASBC,10000,2000,1,11.440829,27.388184,-27.388184,9.81308,4.2716023,118.11168,30.516606,0.004979269,0.001090752,"F0=48.8281 K=2 nb=1 blk=2000"
wave1.csv,UA,DWT-Hybrid,10000,2000,1,1.1669462,49.221326,-49.221326,0.79459941,0.34588658,2.1059059,52.349748,0.001506679,0.001145982,"L=4 nA=125 nz=1388"
wave1.csv,UA,CS-OMP,10000,2000,1,4.8780488,43.15265,-43.15265,1.5980194,0.69561273,8.424124,46.281072,0.15868655,0.20483814,"M=400 N=2000 K0=48"
wave1.csv,UA,MMC,10000,2000,1,16.606124,46.093419,-46.093419,1.1390521,0.49582574,4.8278949,49.221841,4.9139459,0.006330825,"windows=10 N=200 last=para.-10-samp.-1-0/DCT"
wave1.csv,UA,SVDCS,10000,1800,1,1.7569546,38.988165,-38.988165,2.5810597,1.1235484,8.4833822,42.116752,0.001048186,0.000409441,"nF=9 Nppc=200 payload=2049 LZW=1366"
wave1.csv,IA,ASBC,10000,2000,1,8.5698982,23.742102,-23.742102,0.054737085,6.4997239,0.45351658,28.156927,0.007764302,0.002173032,"F0=48.8281 K=7 nb=1 blk=2000"
wave1.csv,IA,DWT-Hybrid,10000,2000,1,1.1217836,40.128986,-40.128986,0.0082973125,0.98525964,0.032905119,44.543812,0.001388186,0.001127913,"L=4 nA=125 nz=1406"
wave1.csv,IA,CS-OMP,10000,2000,1,4.8780488,28.931442,-28.931442,0.030117203,3.5762501,0.12494934,33.346268,0.16111993,0.13333733,"M=400 N=2000 K0=48"
wave1.csv,IA,MMC,10000,2000,1,16.351559,29.93502,-29.93502,0.026830932,3.1860237,0.14151302,34.349846,4.8518635,0.00658413,"windows=10 N=200 last=para.-2-samp.-1-0/DCT"
wave1.csv,IA,SVDCS,10000,1800,1,1.6071429,30.881173,-30.881173,0.024015496,2.8572046,0.078057517,35.31273,0.001124901,0.000387666,"nF=9 Nppc=200 payload=2240 LZW=1493"
wave2.csv,UA,ASBC,10000,2000,1,12.08003,27.510518,-27.510518,9.6778558,4.2118619,114.06091,30.628335,0.003157124,0.001087941,"F0=48.8281 K=2 nb=1 blk=2000"
wave2.csv,UA,DWT-Hybrid,10000,2000,1,1.2087788,48.197687,-48.197687,0.89417117,0.38914875,3.0675825,51.315505,0.001720545,0.001092598,"L=4 nA=125 nz=1374"
wave2.csv,UA,CS-OMP,10000,2000,1,4.8780488,45.823104,-45.823104,1.175303,0.51149904,5.153024,48.940921,0.15602137,0.15222394,"M=400 N=2000 K0=48"
wave2.csv,UA,MMC,10000,2000,1,16.806723,46.169031,-46.169031,1.1294148,0.4915282,4.3505488,49.286849,4.8787959,0.006368473,"windows=10 N=200 last=samp.-1-0/DCT"
wave2.csv,UA,SVDCS,10000,1800,1,1.7673049,45.850009,-45.850009,1.1716801,0.50991706,4.4641459,48.967737,0.001085086,0.000388196,"nF=9 Nppc=200 payload=2037 LZW=1358"
wave2.csv,IA,ASBC,10000,2000,1,8.9485459,21.617807,-21.617807,0.063212932,8.3006035,0.37422256,26.262748,0.008293973,0.002520785,"F0=48.8281 K=7 nb=1 blk=2000"
wave2.csv,IA,DWT-Hybrid,10000,2000,1,1.1254924,38.651649,-38.651649,0.0088943414,1.1679319,0.044059363,43.296591,0.001531604,0.001124933,"L=4 nA=125 nz=1438"
wave2.csv,IA,CS-OMP,10000,2000,1,4.8780488,30.895718,-30.895718,0.021722528,2.8524241,0.084184894,35.54066,0.15267123,0.13146326,"M=400 N=2000 K0=48"
wave2.csv,IA,MMC,10000,2000,1,16.169783,28.005204,-28.005204,0.030299543,3.9786873,0.14096965,32.650146,4.8579394,0.006325741,"windows=10 N=200 last=para.-10-samp.-1-0/DCT"
wave2.csv,IA,SVDCS,10000,1800,1,1.5852048,30.181765,-30.181765,0.023512689,3.0967901,0.077837638,34.852821,0.000922159,0.000362035,"nF=9 Nppc=200 payload=2271 LZW=1514"
wave3.csv,UA,ASBC,10000,2000,1,14.096916,27.405855,-27.405855,9.7849825,4.2629205,105.08595,30.523913,0.004186526,0.00143593,"F0=48.8281 K=3 nb=1 blk=2000"
wave3.csv,UA,DWT-Hybrid,10000,2000,1,1.2534273,48.312167,-48.312167,0.88154495,0.38405343,2.9144118,51.430225,0.00149003,0.000874761,"L=4 nA=125 nz=1376"
wave3.csv,UA,CS-OMP,10000,2000,1,4.8780488,43.010882,-43.010882,1.6229633,0.70705939,9.1581399,46.12894,0.15986725,0.15097337,"M=400 N=2000 K0=48"
wave3.csv,UA,MMC,10000,2000,1,16.949153,45.381245,-45.381245,1.2353515,0.53819262,6.7347547,48.499303,4.9448632,0.006384756,"windows=10 N=200 last=para.-2-samp.-1-0/DCT"
wave3.csv,UA,SVDCS,10000,1800,1,1.7518248,38.477685,-38.477685,2.7350532,1.1915595,8.5319327,41.595799,0.00116487,0.000382565,"nF=9 Nppc=200 payload=2055 LZW=1370"
wave3.csv,IA,ASBC,10000,2000,1,8.2262211,23.931857,-23.931857,0.060965886,6.3592684,0.52018783,28.380662,0.006288185,0.001819362,"F0=48.8281 K=5 nb=1 blk=2000"
wave3.csv,IA,DWT-Hybrid,10000,2000,1,1.1354765,41.303834,-41.303834,0.0082506473,0.86061375,0.035147823,45.752639,0.00158806,0.001022421,"L=4 nA=125 nz=1417"
wave3.csv,IA,CS-OMP,10000,2000,1,4.8780488,31.036838,-31.036838,0.0269053,2.8064551,0.12204697,35.485643,0.15288367,0.16884101,"M=400 N=2000 K0=48"
wave3.csv,IA,MMC,10000,2000,1,16.153458,30.812996,-30.812996,0.027607681,2.8797195,0.1256596,35.261801,5.3055931,0.006464516,"windows=10 N=200 last=samp.-1-0/DCT"
wave3.csv,IA,SVDCS,10000,1800,1,1.5964523,30.476731,-30.476731,0.02867685,2.993391,0.092246264,34.931771,0.001061857,0.000399056,"nF=9 Nppc=200 payload=2255 LZW=1503"
wave4.csv,UA,ASBC,10000,2000,1,14.571949,27.29795,-27.29795,9.6368672,4.3162093,101.46092,30.360716,0.004210825,0.001445235,"F0=48.8281 K=3 nb=1 blk=2000"
wave4.csv,UA,DWT-Hybrid,10000,2000,1,1.2421878,48.588229,-48.588229,0.83065742,0.37203909,2.7583907,51.650995,0.001488674,0.00093054,"L=4 nA=125 nz=1352"
wave4.csv,UA,CS-OMP,10000,2000,1,4.8780488,42.913115,-42.913115,1.5965321,0.71506295,6.511494,45.975881,0.16378725,0.11666949,"M=400 N=2000 K0=48"
wave4.csv,UA,MMC,10000,2000,1,16.701461,43.581111,-43.581111,1.4783519,0.66213181,7.8358688,46.643877,4.8993916,0.006384065,"windows=10 N=200 last=samp.-1-0/DCT"
wave4.csv,UA,SVDCS,10000,1800,1,1.6877637,42.555642,-42.555642,1.6635336,0.74510577,5.5165706,45.591416,0.000809106,0.000379158,"nF=9 Nppc=200 payload=2133 LZW=1422"
