signal,algo,cycles,N,ok,compress_ratio,similarity_pct,corr,SNR_dB,NMSE_dB,RMSE,PRD,MAXE,PSNR_dB,enc_s,dec_s,note
pure,ASBC,2,512,1,26.089172,100,1,304.22132,-304.22132,4.3492984e-16,6.1508368e-14,7.7715612e-16,307.23162,9.8841e-05,1.8133e-05,"F0=50.0000 K=1 nb=1 blk=512"
pure,DWT-Hybrid,2,512,1,0.76732859,99.998523,0.99998523,44.520074,-44.520074,0.0042022442,0.59428708,0.0077086493,47.530374,0.000181726,0.000158004,"L=5 nA=16 nz=413"
pure,CS-OMP,2,512,1,4.5714286,100,1,90.671112,-90.671112,2.0698048e-05,0.002927146,7.0219871e-05,93.681412,0.002526183,0.01285742,"M=102 N=512 K0=48"
pure,MMC,2,512,1,29.257143,100,1,79.921054,-79.921054,7.1356299e-05,0.010091305,0.00017657055,82.931354,1.5529581,0.001085334,"windows=2 N=256 last=para.-10-sin-1/none"
pure,SVDCS,2,512,1,0.639201,100,1,90.308734,-90.308734,2.1579845e-05,0.0030518509,3.0518509e-05,93.319034,0.000286381,7.1688e-05,"nF=2 Nppc=256 payload=1602 LZW=1068"
sag,ASBC,2,512,1,13.191626,99.953642,0.99953642,22.922581,-22.922581,0.04697222,7.1428408,0.11220528,26.563178,0.000179932,3.0907e-05,"F0=50.0000 K=4 nb=1 blk=512"
sag,DWT-Hybrid,2,512,1,2.6332369,99.998682,0.99998682,44.07819,-44.07819,0.0041120711,0.62530299,0.0098366109,47.718788,9.9217e-05,1.9312e-05,"L=5 nA=16 nz=25"
sag,CS-OMP,2,512,1,4.5714286,99.961737,0.99961737,31.03518,-31.03518,0.018459125,2.8069908,0.080379059,34.675778,0.002318043,0.013026669,"M=102 N=512 K0=48"
sag,MMC,2,512,1,16.549495,99.993565,0.99993565,38.900919,-38.900919,0.0074631843,1.1348908,0.031687412,42.541517,1.7876186,0.001033208,"windows=2 N=256 last=sin-1/DCT"
sag,SVDCS,2,512,1,0.40219953,99.968469,0.99968469,32.02121,-32.02121,0.016478195,2.5057603,0.07692301,35.661807,0.000515375,0.000114101,"nF=2 Nppc=256 payload=2546 LZW=1697"
harmonics,ASBC,2,512,1,22.26087,99.978681,0.99978681,33.696867,-33.696867,0.013187543,2.0661252,0.025484806,36.477629,0.000283829,4.5635e-05,"F0=50.0000 K=7 nb=1 blk=512"
harmonics,DWT-Hybrid,2,512,1,0.75662695,99.99882,0.9999882,44.735561,-44.735561,0.003700234,0.57972488,0.016423384,47.516323,0.000198602,0.000161547,"L=5 nA=16 nz=400"
harmonics,CS-OMP,2,512,1,4.5714286,100,1,90.533264,-90.533264,1.8982091e-05,0.0029739715,5.2833154e-05,93.314025,0.002099962,0.013159354,"M=102 N=512 K0=48"
harmonics,MMC,2,512,1,16.718367,99.998773,0.99998773,46.078906,-46.078906,0.0031700196,0.49665488,0.009805172,48.859667,1.5389657,0.002038152,"windows=2 N=256 last=samp.-2-0/DCT"
harmonics,SVDCS,2,512,1,0.60771513,99.999999,0.99999999,79.361527,-79.361527,6.8695912e-05,0.01076276,0.0001560332,82.142289,0.000719375,8.963e-05,"nF=2 Nppc=256 payload=1685 LZW=1123"
complex,ASBC,2,512,1,2.3897316,99.95193,0.9995193,26.948788,-26.948788,0.026410864,4.4932503,0.24690264,30.445254,0.00040552,6.6536e-05,"F0=50.0000 K=11 nb=1 blk=512"
complex,DWT-Hybrid,2,512,1,1.7009967,99.997325,0.99997325,42.506697,-42.506697,0.0044044039,0.74931624,0.021909348,46.003164,0.000117802,3.0242e-05,"L=5 nA=16 nz=63"
complex,CS-OMP,2,512,1,4.5714286,99.707827,0.99707827,22.247485,-22.247485,0.045378252,7.7201504,0.32452624,25.743951,0.002101857,0.012923203,"M=102 N=512 K0=48"
complex,MMC,2,512,1,16.351297,99.970187,0.99970187,32.19588,-32.19588,0.014435372,2.4558734,0.070094251,35.692347,1.7548594,1.9392e-05,"windows=2 N=256 last=poly-7/DWT"
complex,SVDCS,2,512,1,0.37591777,99.903951,0.99903951,27.171284,-27.171284,0.025742919,4.3796137,0.16124673,30.667751,0.000417169,0.000101512,"nF=2 Nppc=256 payload=2724 LZW=1816"
pure,ASBC,4,1024,1,40.554455,100,1,101.75228,-101.75228,5.7792467e-06,0.00081730891,8.1730891e-06,104.76258,0.000271514,5.5932e-05,"F0=50.0000 K=1 nb=1 blk=1024"
pure,DWT-Hybrid,4,1024,1,1.1586168,99.999085,0.99999085,44.050847,-44.050847,0.0044355006,0.62727451,0.0094497458,47.061147,0.000466716,0.000338799,"L=6 nA=16 nz=837"
pure,CS-OMP,4,1024,1,4.7627907,100,1,91.994913,-91.994913,1.7772125e-05,0.002513358,5.4514062e-05,95.005213,0.009744118,0.039309963,"M=205 N=1024 K0=48"
pure,MMC,4,1024,1,29.257143,100,1,79.921054,-79.921054,7.1356299e-05,0.010091305,0.00017657055,82.931354,3.1382558,0.002071086,"windows=4 N=256 last=para.-10-sin-1/none"
pure,SVDCS,4,1024,1,1.278402,100,1,90.308734,-90.308734,2.1579845e-05,0.0030518509,3.0518509e-05,93.319034,0.000442638,8.4743e-05,"nF=4 Nppc=256 payload=1602 LZW=1068"
