dataset,signal,algo,param,N,CR,rate_bps,NMSE_dB,SNR_dB,RMSE,PRD,MAXE,PSNR_dB,fund_amp_relerr,fund_phase_err_deg,THD_abs_error,enc_time_s,dec_time_s,logical_payload_bytes,matlab_packet_bytes,encoder_working_est_bytes,decoder_working_est_bytes,edge_state_est_bytes,source_mfile_bytes
IEEE1159,complex,ASBC,W=5,2560,9.31756141947225,1.7171875,-28.2745208575005,28.2745208575005,0.0223881154977191,3.85721597822374,0.170891924604471,32.1185679913036,1.97849792321865e-07,0.000170005140295879,0.0034507706157214,0.004713,0.0007211,549.5,7611,249968,92709.5,11712,9822
IEEE1159,complex,ASBC,W=20,2560,8.92763731473409,1.7921875,-28.4978610851198,28.4978610851198,0.0218197880324651,3.75929966275428,0.170810332916389,32.3419082189229,1.97849791637208e-07,0.000170005140295879,0.00371446907472633,0.0020773,0.0006764,573.5,8267,249968,92733.5,11712,9822
IEEE1159,complex,ASBC,W=100,2560,8.14638027048528,1.9640625,-28.1047817854006,28.1047817854006,0.0228299253972018,3.93333476561322,0.270667431489836,31.9488289192036,2.54207197026241e-06,0.00011996273685411,0.00146722564480715,0.0033563,0.0009266,628.5,10635,249968,92788.5,11712,9822
IEEE1159,complex,ASBC,Rk=4,2560,8.67061812023709,1.8453125,-28.629435911686,28.629435911686,0.021491750294688,3.70278251624666,0.179440988148079,32.4734830454891,5.65019323779329e-07,2.20377636014987e-05,0.000298520083728243,0.0044313,0.0007982,590.5,8363,249968,92750.5,11712,9822
IEEE1159,complex,ASBC,Rk=6,2560,8.65961945031713,1.84765625,-28.3912121762617,28.3912121762617,0.0220893518434612,3.80574242114683,0.177522940745025,32.2352593100647,1.98084011249207e-07,0.000159240824952058,0.000301326017835057,0.0021952,0.0005792,591.25,8339,249968,92751.25,11712,9822
IEEE1159,complex,ASBC,Rk=8,2560,8.92763731473409,1.7921875,-28.4978610851198,28.4978610851198,0.0218197880324651,3.75929966275428,0.170810332916389,32.3419082189229,1.97849791637208e-07,0.000170005140295879,0.00371446907472633,0.0019328,0.0006269,573.5,8267,249968,92733.5,11712,9822
IEEE1159,complex,ASBC,Rk=10,2560,8.63770560944749,1.85234375,-28.4945774550502,28.4945774550502,0.0218280383855988,3.76072110414074,0.174783810900767,32.3386245888533,6.52962457606871e-07,8.75931108552752e-05,0.00396239641930235,0.0018576,0.0006722,592.75,8291,249968,92752.75,11712,9822
IEEE1159,complex,ASBC,Rk=12,2560,8.49440066362505,1.88359375,-28.5212495245026,28.5212495245026,0.021761113061329,3.74919063699859,0.173803803155611,32.3652966583057,6.52846295366545e-07,0.000119213186753327,0.0037940307015376,0.0018943,0.0006338,602.75,8291,249968,92762.75,11712,9822
IEEE1159,complex,DWT-Hybrid,E=0.9500,2560,4.06873944571372,3.932421875,-31.0987104496769,31.0987104496769,0.0161736506860876,2.78653484072575,0.0741399540099282,34.94275758348,0.0029426537026784,0.117612432537196,0.00494843212844188,0.0164694,0.0095007,1258.375,70504,234344,193384,65536,8400
IEEE1159,complex,DWT-Hybrid,E=0.9700,2560,3.81449059415161,4.19453125,-31.7209588454391,31.7209588454391,0.0150555158118976,2.59389300345391,0.0940829398620476,35.5650059792422,0.00303711918621733,0.111401740848865,0.00409883733598924,0.0195799,0.0107087,1342.25,75528,239368,198408,65536,8400
