dataset,signal,algo,param,N,CR,rate_bps,NMSE_dB,SNR_dB,RMSE,PRD,MAXE,PSNR_dB,fund_amp_relerr,fund_phase_err_deg,THD_abs_error,enc_time_s,dec_time_s,logical_payload_bytes,matlab_packet_bytes,encoder_working_est_bytes,decoder_working_est_bytes,edge_state_est_bytes,source_mfile_bytes
noise,complex,ASBC,inputSNR=Inf,2560,8.92763731473409,1.7921875,-28.4978610851198,28.4978610851198,0.0218197880324651,3.75929966275428,0.170810332916389,32.3419082189229,1.97849791637208e-07,0.000170005140295879,0.00371446907472633,0.0018679,0.0005665,573.5,8267,249968,92733.5,11712,9822
noise,complex,DWT-Hybrid,inputSNR=Inf,2560,3.33251972988365,4.801171875,-35.8367707115774,35.8367707115774,0.00937357041116461,1.61495886362713,0.064005383873444,39.6808178453805,0.00139616710853617,0.185303275868213,0.00115417886194241,0.0160241,0.0099342,1536.375,87296,251136,210176,65536,8400
noise,complex,CS-OMP,inputSNR=Inf,2560,4.90421455938697,3.2625,-26.8175234964565,26.8175234964565,0.0264769165587121,4.56166958825836,0.397256195632016,30.6615706302596,0.000223348301603643,0.0704290553457097,0.00163570473589952,0.246992,0.2502952,1044,5793,136937472,136937472,8576,5822
noise,complex,MMC,inputSNR=Inf,2560,16.3122262046993,0.980859375,-34.9052431400195,34.9052431400195,0.0104347350088661,1.79778537451397,0.216391283292841,38.7492902738226,0.00153343585281051,0.0443870926294728,0.000912235668572473,6.2349415,0.0003796,313.875,72920,789720,540985.875,20480,22924
noise,complex,SVDCS,inputSNR=Inf,2560,1.82726623840114,8.75625,-29.0012529042353,29.0012529042353,0.0205911658391621,3.54762212537104,0.306807584879559,32.8453000380384,5.57841303072991e-06,6.72457726280964e-05,3.7543396751813e-05,0.0112966,0.0045651,2802,15879,2250247,2194951,81920,28990
noise,complex,ASBC,inputSNR=45,2560,8.78592878592879,1.82109375,-28.4555852522219,28.4555852522219,0.0219272808605695,3.77764147045452,0.174317739265847,32.3106788785395,4.58339421437589e-07,2.85914661225521e-05,0.00379462246914969,0.0020434,0.0006117,582.75,8291,249968,92742.75,11712,9822
noise,complex,DWT-Hybrid,inputSNR=45,2560,2.02351546289892,7.90703125,-35.6294284093499,35.6294284093499,0.00960047280058594,1.65397362391071,0.0651683951028414,39.4845220356674,0.00174162006950152,0.189565021385387,0.00130346863880212,0.0215847,0.0238292,2530.25,151936,315776,274816,65536,8400
noise,complex,CS-OMP,inputSNR=45,2560,4.90421455938697,3.2625,-26.4878524827879,26.4878524827879,0.0275024521577754,4.73813440303173,0.412021504367964,30.3429461091055,0.000445018115030387,0.0572290254365051,0.00193660969715856,0.2992927,0.3228137,1044,5793,136937472,136937472,8576,5822
noise,complex,MMC,inputSNR=45,2560,16.2798092209857,0.9828125,-34.4368732591849,34.4368732591849,0.01101337378433,1.89738881906312,0.177287153298151,38.2919668855025,0.00171860867695083,0.0393293570273296,0.00106802275177591,6.1792207,0.0002794,314.5,72960,789760,540986.5,20480,22924
noise,complex,SVDCS,inputSNR=45,2560,1.81560283687943,8.8125,-28.9216352948189,28.9216352948189,0.0207817577147143,3.58029024534527,0.312538247299948,32.7767289211365,9.27022201070185e-06,0.000404077124717833,1.82484510303088e-05,0.0103671,0.0039853,2820,15897,2250265,2194969,81920,28990
noise,complex,ASBC,inputSNR=35,2560,8.64864864864865,1.85,-27.9445186815025,27.9445186815025,0.0232611364692387,4.00658227995568,0.190898347143329,31.8224747537928,5.50507228547973e-07,0.000163700687438437,0.00393398879823123,0.0017318,0.0005617,592,8315,249968,92752,11712,9822
noise,complex,DWT-Hybrid,inputSNR=35,2560,1.7123745819398,9.34375,-35.5938462699427,35.5938462699427,0.00964194277940789,1.66076309880257,0.0652535702131082,39.4718023422331,0.00257630932179797,0.168081458207536,0.00134343321719164,0.0248304,0.0265643,2990,179176,343016,302056,65536,8400
noise,complex,CS-OMP,inputSNR=35,2560,4.90421455938697,3.2625,-25.5235772250311,25.5235772250311,0.030738169567521,5.29445350489934,0.42871264919657,29.4015332973214,0.00117335786639455,0.0074474814737861,0.00298460670966849,0.2777508,0.2900159,1044,5793,136937472,136937472,8576,5822
noise,complex,MMC,inputSNR=35,2560,16.1450532124557,0.991015625,-32.0881222742597,32.0881222742597,0.0144361288462202,2.48653104730768,0.178734766608728,35.9660783465501,0.00135780033956881,0.0974825861275771,0.00116096381399487,6.3017236,0.0003902,317.125,73010,789810,540989.125,20480,22924
noise,complex,SVDCS,inputSNR=35,2560,1.75824175824176,9.1,-28.1427485781598,28.1427485781598,0.0227362813295771,3.91617933232272,0.324839381930193,32.0207046504502,1.53370133762584e-05,0.00105663192078704,2.24913496372076e-05,0.0118104,0.0045197,2912,15989,2250357,2195061,81920,28990
noise,complex,ASBC,inputSNR=25,2560,5.32224532224532,3.00625,-24.1875800199882,24.1875800199882,0.0359093324554535,6.17477303582659,0.23368379537475,28.4769524727467,1.2779149421811e-06,0.000201435439824086,0.00059659134736384,0.0019036,0.000629,962,9275,249968,93122,11712,9822
noise,complex,DWT-Hybrid,inputSNR=25,2560,1.37615911839806,11.6265625,-34.5091918941956,34.5091918941956,0.0109427565690015,1.88165676105804,0.0682901755970831,38.798564346954,0.00107561633463001,0.144619594303141,0.00216816601138134,0.0357676,0.0347251,3720.5,221208,385048,344088,65536,8400
noise,complex,CS-OMP,inputSNR=25,2560,4.90421455938697,3.2625,-21.8800816703152,21.8800816703152,0.0468362644276451,8.05370868549093,0.484127090601241,26.1694541230737,0.00279301845512948,0.024353361672651,0.00593386067581958,0.2703388,0.281415,1044,5793,136937472,136937472,8576,5822
noise,complex,MMC,inputSNR=25,2560,16.1196379378198,0.992578125,-25.0743209221233,25.0743209221233,0.032424275936919,5.57550171699398,0.169488576528087,29.3636933748818,0.00131341939333818,0.0355324630465006,0.00272864422400781,6.4868119,0.000374,317.625,73362,790162,540989.625,20480,22924
noise,complex,SVDCS,inputSNR=25,2560,1.69312169312169,9.45,-23.8456964164772,23.8456964164772,0.0373509379284691,6.42266365351267,0.360412502873627,28.1350688692357,1.23203845537904e-05,1.26422983330403e-05,1.52986820670525e-05,0.0108677,0.004193,3024,16129,2250497,2195201,81920,28990
