dataset,signal,algo,param,N,CR,SNR_dB,signal_duration_s,cold_enc_s,cold_dec_s,enc_median_s,enc_mean_s,enc_p90_s,dec_median_s,dec_mean_s,dec_p90_s,enc_realtime_factor,dec_realtime_factor,enc_throughput_Msps,dec_throughput_Msps,logical_payload_bytes,matlab_packet_bytes,encoder_working_est_bytes,decoder_working_est_bytes,edge_state_est_bytes,source_mfile_bytes,resource_note
profile,pure,ASBC,10 cycles,2560,86.7796610169491,294.594527938571,0.2,0.0009668,0.000221,0.0007963,0.000797466666666667,0.0007999,0.0002113,0.000218566666666667,0.00023258,0.0039815,0.0010565,3.21486876805224,12.1154756270705,59,4619,249872,92219,11328,9822,"Current MATLAB realization uses FFT-domain ideal filtering; a polyphase FIR FPGA/DSP implementation has different RAM/compute."
profile,pure,DWT-Hybrid,10 cycles,2560,5.40226853073068,35.5233084004896,0.2,0.011752,0.0076616,0.0100738,0.0100896666666667,0.0102522,0.007223,0.00732163333333333,0.00750308,0.050369,0.036115,0.254124560741726,0.354423369790946,947.75,53824,217664,176704,65536,8400,"Current implementation is batch/block DWT with MATLAB Huffman dictionaries; lifting/streaming DWT can materially reduce target RAM."
profile,pure,CS-OMP,10 cycles,2560,4.90421455938697,94.6518489994766,0.2,0.2667807,0.3004625,0.2358946,0.247762166666667,0.26708604,0.317141,0.315086366666667,0.34978332,1.179473,1.585705,0.0108523043766157,0.00807211934123939,1044,5793,136937472,136937472,8576,5822,"This is the current dense-matrix MATLAB implementation. Structured/implicit sensing + FFT can reduce RAM by orders of magnitude; current encoder also runs OMP only for diagnostics."
profile,pure,MMC,10 cycles,2560,29.2571428571429,79.9210537311647,0.2,6.2584974,0.0002648,6.3188447,6.3114541,6.3579179,0.0002562,0.000274666666666667,0.00030284,31.5942235,0.001281,0.000405137350503329,9.99219359875098,175,69000,785800,540847,20480,22924,"Encoder cost is dominated by candidate-model fitting and rate-distortion search; decoder evaluates only the selected model/residual and is much lighter."
profile,pure,SVDCS,10 cycles,2560,3.19201995012469,90.3087336228232,0.2,0.0089544,0.0028987,0.0085911,0.0085918,0.00867142,0.0028806,0.0029514,0.0030558,0.0429555,0.014403,0.297982796149504,0.888703742275915,1604,14317,2248685,2193389,81920,28990,"The 2 MiB term comes from this MATLAB fixed-table LZW implementation, not from the SVDCS paper FPGA. Paper reports logic utilization but does not give exact RAM used."
profile,complex,ASBC,10 cycles,2560,8.92763731473409,28.4978610851198,0.2,0.001861,0.0005997,0.00175,0.00175413333333333,0.00177576,0.0005923,0.000588733333333333,0.00059358,0.00875,0.0029615,1.46285714285714,4.32213405368901,573.5,8267,249968,92733.5,11712,9822,"Current MATLAB realization uses FFT-domain ideal filtering; a polyphase FIR FPGA/DSP implementation has different RAM/compute."
profile,complex,DWT-Hybrid,10 cycles,2560,3.33251972988365,35.8367707115774,0.2,0.0182611,0.0115166,0.0195068,0.0197442333333333,0.02105456,0.0128188,0.0159105,0.02071512,0.097534,0.064094,0.131236286833309,0.199706680812557,1536.375,87296,251136,210176,65536,8400,"Current implementation is batch/block DWT with MATLAB Huffman dictionaries; lifting/streaming DWT can materially reduce target RAM."
profile,complex,CS-OMP,10 cycles,2560,4.90421455938697,26.8175234964565,0.2,0.3195652,0.3292503,0.2888513,0.304150233333333,0.3395577,0.2599066,0.280979233333333,0.3258982,1.4442565,1.299533,0.00886269163406916,0.00984969215864468,1044,5793,136937472,136937472,8576,5822,"This is the current dense-matrix MATLAB implementation. Structured/implicit sensing + FFT can reduce RAM by orders of magnitude; current encoder also runs OMP only for diagnostics."
profile,complex,MMC,10 cycles,2560,16.3122262046993,34.9052431400195,0.2,6.2316454,0.0003604,6.1017259,6.1014315,6.14371142,0.0003488,0.000339433333333333,0.00036728,30.5086295,0.001744,0.000419553425039955,7.3394495412844,313.875,72920,789720,540985.875,20480,22924,"Encoder cost is dominated by candidate-model fitting and rate-distortion search; decoder evaluates only the selected model/residual and is much lighter."
profile,complex,SVDCS,10 cycles,2560,1.82726623840114,29.0012529042353,0.2,0.010362,0.0040114,0.0105801,0.0105652,0.01108474,0.0042384,0.00420453333333333,0.00437984,0.0529005,0.021192,0.241963686543605,0.604001510003775,2802,15879,2250247,2194951,81920,28990,"The 2 MiB term comes from this MATLAB fixed-table LZW implementation, not from the SVDCS paper FPGA. Paper reports logic utilization but does not give exact RAM used."
profile,osc_transient,ASBC,10 cycles,2560,12.5953259532595,33.5736117057115,0.2,0.002019,0.0004115,0.0020153,0.0020323,0.0021169,0.00041,0.000420333333333333,0.00045848,0.0100765,0.00205,1.27028234009825,6.24390243902439,406.5,6755,250032,92566.5,11968,9822,"Current MATLAB realization uses FFT-domain ideal filtering; a polyphase FIR FPGA/DSP implementation has different RAM/compute."
profile,osc_transient,DWT-Hybrid,10 cycles,2560,4.38121724248583,35.2037177592153,0.2,0.0153164,0.0093969,0.0143437,0.0142946333333333,0.01458274,0.0088626,0.00887256666666667,0.0090106,0.0717185,0.044313,0.178475567670824,0.288854286552479,1168.625,65968,229808,188848,65536,8400,"Current implementation is batch/block DWT with MATLAB Huffman dictionaries; lifting/streaming DWT can materially reduce target RAM."
profile,osc_transient,CS-OMP,10 cycles,2560,4.90421455938697,27.9024537306548,0.2,0.2985107,0.3182855,0.3024489,0.2953862,0.31875634,0.2629759,0.2711391,0.28298022,1.5122445,1.3148795,0.00846423974430061,0.00973473234619598,1044,5793,136937472,136937472,8576,5822,"This is the current dense-matrix MATLAB implementation. Structured/implicit sensing + FFT can reduce RAM by orders of magnitude; current encoder also runs OMP only for diagnostics."
profile,osc_transient,MMC,10 cycles,2560,25.3622291021672,34.1294330987056,0.2,6.302978,0.0002803,6.2493573,6.2523246,6.27256794,0.0002731,0.000272433333333333,0.00027334,31.2467865,0.0013655,0.000409642124318928,9.37385573050165,201.875,69768,786568,540873.875,20480,22924,"Encoder cost is dominated by candidate-model fitting and rate-distortion search; decoder evaluates only the selected model/residual and is much lighter."
profile,osc_transient,SVDCS,10 cycles,2560,1.88027910392949,31.8787485013269,0.2,0.011602,0.0043407,0.0111912,0.0111552,0.01119712,0.0045366,0.0045163,0.00465012,0.055956,0.022683,0.228751161626993,0.56429925494864,2723,15800,2250168,2194872,81920,28990,"The 2 MiB term comes from this MATLAB fixed-table LZW implementation, not from the SVDCS paper FPGA. Paper reports logic utilization but does not give exact RAM used."
