dataset,signal,algo,param,N,CR,SNR_dB,signal_duration_s,cold_enc_s,cold_dec_s,enc_median_s,enc_mean_s,enc_p90_s,dec_median_s,dec_mean_s,dec_p90_s,enc_realtime_factor,dec_realtime_factor,enc_throughput_Msps,dec_throughput_Msps,logical_payload_bytes,matlab_packet_bytes,encoder_working_est_bytes,decoder_working_est_bytes,edge_state_est_bytes,source_mfile_bytes,resource_note
scaling,complex,ASBC,2 cycles,512,2.38973162193699,26.9487877449889,0.04,0.0023953,0.0003887,0.000655,0.000653033333333333,0.00066436,0.0001245,0.000128433333333333,0.00013826,0.016375,0.0031125,0.781679389312977,4.11244979919679,428.5,6106,69808,33196.5,5824,9822,"Current MATLAB realization uses FFT-domain ideal filtering; a polyphase FIR FPGA/DSP implementation has different RAM/compute."
scaling,complex,DWT-Hybrid,2 cycles,512,1.40974014799518,41.765315278497,0.04,0.0082491,0.0034575,0.0082237,0.00834703333333333,0.00852322,0.0035943,0.0035331,0.0036047,0.2055925,0.0898575,0.0622590804625655,0.142447764516039,726.375,38464,71232,63040,16384,8400,"Current implementation is batch/block DWT with MATLAB Huffman dictionaries; lifting/streaming DWT can materially reduce target RAM."
scaling,complex,CS-OMP,2 cycles,512,4.57142857142857,22.8259565786773,0.04,0.0105278,0.0091267,0.009398,0.00928566666666667,0.00943816,0.0101828,0.00991296666666667,0.0104576,0.23495,0.25457,0.0544796765269206,0.0502808657736575,224,2513,5571872,5571872,5296,5822,"This is the current dense-matrix MATLAB implementation. Structured/implicit sensing + FFT can reduce RAM by orders of magnitude; current encoder also runs OMP only for diagnostics."
scaling,complex,MMC,2 cycles,512,16.3512974051896,32.1958804697491,0.04,1.6038837,0.0001128,1.4808064,1.51181006666667,1.55682192,0.0001197,0.000115733333333333,0.00012378,37.02016,0.0029925,0.000345757554802572,4.27736006683375,62.625,14988,731788,540734.625,20480,22924,"Encoder cost is dominated by candidate-model fitting and rate-distortion search; decoder evaluates only the selected model/residual and is much lighter."
scaling,complex,SVDCS,2 cycles,512,0.375917767988253,27.1712839835335,0.04,0.0067506,0.0040538,0.0065714,0.00657953333333333,0.00662372,0.003716,0.0038891,0.00415888,0.164285,0.0929,0.0779133822320967,0.13778256189451,2724,15471,2151535,2129007,81920,28990,"The 2 MiB term comes from this MATLAB fixed-table LZW implementation, not from the SVDCS paper FPGA. Paper reports logic utilization but does not give exact RAM used."
scaling,complex,ASBC,4 cycles,1024,4.20533880903491,26.2068187494348,0.08,0.0016511,0.0003479,0.0008081,0.0008942,0.0010253,0.0002662,0.000280366666666667,0.00030876,0.01010125,0.0033275,1.26716990471476,3.84673178061608,487,5962,139376,66023,9664,9822,"Current MATLAB realization uses FFT-domain ideal filtering; a polyphase FIR FPGA/DSP implementation has different RAM/compute."
scaling,complex,DWT-Hybrid,4 cycles,1024,2.18511603094158,39.567038290962,0.08,0.0102295,0.005119,0.0096878,0.0098219,0.01012572,0.0050951,0.00513656666666667,0.0054035,0.1210975,0.06368875,0.105699952517599,0.200977409668113,937.25,50808,116344,99960,28672,8400,"Current implementation is batch/block DWT with MATLAB Huffman dictionaries; lifting/streaming DWT can materially reduce target RAM."
scaling,complex,CS-OMP,4 cycles,1024,4.76279069767442,21.4571555477368,0.08,0.028195,0.034544,0.0344402,0.0346410333333333,0.03844652,0.0341836,0.033656,0.03513152,0.4305025,0.427295,0.0297326960935186,0.0299558852783206,430,3337,22064496,22064496,6120,5822,"This is the current dense-matrix MATLAB implementation. Structured/implicit sensing + FFT can reduce RAM by orders of magnitude; current encoder also runs OMP only for diagnostics."
scaling,complex,MMC,4 cycles,1024,16.3024875621891,33.422698355826,0.08,2.5790353,0.0002159,2.5404433,2.5516412,2.6091885,0.0001804,0.000184233333333333,0.00019864,31.75554125,0.002255,0.000403079257860232,5.67627494456763,125.625,29294,746094,540797.625,20480,22924,"Encoder cost is dominated by candidate-model fitting and rate-distortion search; decoder evaluates only the selected model/residual and is much lighter."
scaling,complex,SVDCS,4 cycles,1024,0.726241134751773,23.5518048023015,0.08,0.008587,0.0044567,0.0085923,0.00857596666666667,0.00869318,0.004557,0.00455083333333333,0.00458412,0.10740375,0.0569625,0.11917647195745,0.224709238534123,2820,15681,2176321,2145601,81920,28990,"The 2 MiB term comes from this MATLAB fixed-table LZW implementation, not from the SVDCS paper FPGA. Paper reports logic utilization but does not give exact RAM used."
scaling,complex,ASBC,10 cycles,2560,8.92763731473409,28.4978610851198,0.2,0.0019782,0.0006436,0.0034831,0.00381063333333333,0.00495422,0.0010987,0.00152313333333333,0.00236702,0.0174155,0.0054935,0.734977462605151,2.33002639483025,573.5,8267,249968,92733.5,11712,9822,"Current MATLAB realization uses FFT-domain ideal filtering; a polyphase FIR FPGA/DSP implementation has different RAM/compute."
scaling,complex,DWT-Hybrid,10 cycles,2560,3.33251972988365,35.8367707115774,0.2,0.0396203,0.0144051,0.0225728,0.0251546,0.02965904,0.014377,0.0143948,0.01461748,0.112864,0.071885,0.113410830734335,0.178062182652848,1536.375,87296,251136,210176,65536,8400,"Current implementation is batch/block DWT with MATLAB Huffman dictionaries; lifting/streaming DWT can materially reduce target RAM."
scaling,complex,CS-OMP,10 cycles,2560,4.90421455938697,26.8175234964565,0.2,0.3372715,0.3101253,0.3020012,0.290909433333333,0.30342168,0.2668211,0.270924166666667,0.28928902,1.510006,1.3341055,0.00847678750945361,0.00959444361783982,1044,5793,136937472,136937472,8576,5822,"This is the current dense-matrix MATLAB implementation. Structured/implicit sensing + FFT can reduce RAM by orders of magnitude; current encoder also runs OMP only for diagnostics."
