signal,algo,CR,NMSE_dB,SNR_dB,source,rate_bps
pure,ASBC,86.77966101694915,-294.5945279385708,294.5945279385708,MATLAB benchmark_results.mat,0.184375
pure,DWT-Hybrid,5.402268530730678,-35.523308400489555,35.523308400489555,MATLAB benchmark_results.mat,2.9617187499999997
sag,ASBC,44.71615720524017,-33.97345307771622,33.97345307771622,MATLAB benchmark_results.mat,0.35781250000000003
sag,DWT-Hybrid,4.0,-34.672902976348674,34.672902976348674,MATLAB benchmark_results.mat,4.0
swell,ASBC,48.64608076009501,-32.94291227979822,32.94291227979822,MATLAB benchmark_results.mat,0.32890625
swell,DWT-Hybrid,4.04943153732081,-35.3800132738592,35.3800132738592,MATLAB benchmark_results.mat,3.9511718750000004
interruption,ASBC,38.49624060150376,-27.82840285957777,27.82840285957777,MATLAB benchmark_results.mat,0.415625
interruption,DWT-Hybrid,4.147848101265823,-25.654374860391968,25.654374860391968,MATLAB benchmark_results.mat,3.8574218749999996
harmonics,ASBC,60.59171597633136,-33.69686716281632,33.69686716281632,MATLAB benchmark_results.mat,0.26406250000000003
harmonics,DWT-Hybrid,2.8182193477363424,-37.57241652039785,37.57241652039785,MATLAB benchmark_results.mat,5.6773437499999995
osc_transient,ASBC,12.595325953259533,-33.573611705711535,33.573611705711535,MATLAB benchmark_results.mat,1.2703125
osc_transient,DWT-Hybrid,4.381217242485827,-35.20371775921532,35.20371775921532,MATLAB benchmark_results.mat,3.651953125
notch,ASBC,17.326565143824027,-26.44621717282799,26.44621717282799,MATLAB benchmark_results.mat,0.9234375
notch,DWT-Hybrid,4.111624171853042,-34.453360407381474,34.453360407381474,MATLAB benchmark_results.mat,3.8914062499999997
flicker,ASBC,75.01831501831502,-34.518077932099665,34.518077932099665,MATLAB benchmark_results.mat,0.21328124999999998
flicker,DWT-Hybrid,4.174054825231836,-35.66275453897938,35.66275453897938,MATLAB benchmark_results.mat,3.833203125
spike,ASBC,10.369620253164557,-25.8519530381167,25.8519530381167,MATLAB benchmark_results.mat,1.54296875
spike,DWT-Hybrid,5.279711265790152,-34.801114051076205,34.801114051076205,MATLAB benchmark_results.mat,3.03046875
complex,ASBC,8.927637314734088,-28.497861085119776,28.497861085119776,MATLAB benchmark_results.mat,1.7921875
complex,DWT-Hybrid,3.332519729883655,-35.83677071157738,35.83677071157738,MATLAB benchmark_results.mat,4.801171875
pure,CS-OMP,4.904214559386973,-94.09726862709462,94.09726862709462,numerical mirror of supplied MATLAB logic,3.2625
sag,CS-OMP,4.904214559386973,-43.013635537327886,43.013635537327886,numerical mirror of supplied MATLAB logic,3.2625
swell,CS-OMP,4.904214559386973,-44.55201030117625,44.55201030117625,numerical mirror of supplied MATLAB logic,3.2625
interruption,CS-OMP,4.904214559386973,-31.72861548389151,31.72861548389151,numerical mirror of supplied MATLAB logic,3.2625
harmonics,CS-OMP,4.904214559386973,-93.84594696605937,93.84594696605937,numerical mirror of supplied MATLAB logic,3.2625
osc_transient,CS-OMP,4.904214559386973,-27.251371439820304,27.251371439820304,numerical mirror of supplied MATLAB logic,3.2625
