algo,param,CR,NMSE_dB,SNR_dB,source,rate_bps
ASBC,W=5,9.317561419472247,-28.27452085750054,28.27452085750054,MATLAB benchmark_results.mat,1.7171875
ASBC,W=20,8.927637314734088,-28.497861085119776,28.497861085119776,MATLAB benchmark_results.mat,1.7921875
ASBC,W=100,8.146380270485283,-28.104781785400554,28.104781785400554,MATLAB benchmark_results.mat,1.9640624999999998
ASBC,Rk=4,8.670618120237087,-28.62943591168603,28.62943591168603,MATLAB benchmark_results.mat,1.8453125
ASBC,Rk=6,8.659619450317125,-28.391212176261654,28.391212176261654,MATLAB benchmark_results.mat,1.84765625
ASBC,Rk=12,8.494400663625052,-28.52124952450257,28.52124952450257,MATLAB benchmark_results.mat,1.88359375
DWT-Hybrid,E=0.9999,2.9683310384810495,-49.0376579431365,49.0376579431365,MATLAB benchmark_results.mat,5.3902343749999995
DWT-Hybrid,E=0.9990,3.0277942046126554,-48.31922998230083,48.31922998230083,MATLAB benchmark_results.mat,5.284375
DWT-Hybrid,E=0.9900,3.332519729883655,-35.83677071157738,35.83677071157738,MATLAB benchmark_results.mat,4.801171875
DWT-Hybrid,E=0.9700,3.814490594151611,-31.720958845439135,31.720958845439135,MATLAB benchmark_results.mat,4.19453125
DWT-Hybrid,E=0.9500,4.068739445713718,-31.09871044967692,31.09871044967692,MATLAB benchmark_results.mat,3.9324218749999997
CS-OMP,M/N=0.05,18.55072463768116,-20.06685749084091,20.06685749084091,MATLAB benchmark_results.mat,0.8624999999999999
CS-OMP,M/N=0.10,9.62406015037594,-24.884500494886545,24.884500494886545,MATLAB benchmark_results.mat,1.6625
CS-OMP,M/N=0.20,4.904214559386973,-26.81752349645654,26.81752349645654,MATLAB benchmark_results.mat,3.2625
CS-OMP,M/N=0.30,3.290488431876607,-26.718132827681043,26.718132827681043,MATLAB benchmark_results.mat,4.8625
MMC,n_tot=128,32.820512820512825,-30.116032071315516,30.116032071315516,numerical mirror of supplied MATLAB logic,0.48749999999999993
MMC,n_tot=192,22.080862533692724,-32.98192458508342,32.98192458508342,numerical mirror of supplied MATLAB logic,0.724609375
MMC,n_tot=256,16.312226204699325,-34.90524314001948,34.90524314001948,numerical mirror of supplied MATLAB logic,0.9808593749999999
MMC,n_tot=384,10.870488322717621,-37.72438585874629,37.72438585874629,numerical mirror of supplied MATLAB logic,1.471875
MMC,n_tot=512,8.090065178747778,-39.97072912836386,39.97072912836386,numerical mirror of supplied MATLAB logic,1.9777343749999998
SVDCS,G=0.005,1.5787850755473327,-40.79605500746901,40.79605500746901,numerical mirror of supplied MATLAB logic,10.134375
SVDCS,G=0.01,1.6510802966784908,-37.10319484184921,37.10319484184921,numerical mirror of supplied MATLAB logic,9.690625
SVDCS,G=0.02,1.7728531855955678,-31.4486199513426,31.4486199513426,numerical mirror of supplied MATLAB logic,9.025
SVDCS,G=0.03,1.827266238401142,-29.00152005961097,29.00152005961097,numerical mirror of supplied MATLAB logic,8.75625
SVDCS,G=0.05,1.8537291817523533,-26.78862557564632,26.78862557564632,numerical mirror of supplied MATLAB logic,8.63125
SVDCS,G=0.08,1.8823529411764706,-22.758077201252377,22.758077201252377,numerical mirror of supplied MATLAB logic,8.5
SVDCS,G=0.12,1.8962962962962964,-21.436375918056207,21.436375918056207,numerical mirror of supplied MATLAB logic,8.4375
